Description,Code,C %,Si %,Mn %,S%,P%,Cr %,Ni %,Mo %,Cu %,Cost $/Kg,,
Auste Square Liners,FS1142,1.2,0.65,14,0.06,0.04,0.8,0.02,0.1,0.04,0,,
Cone Sections,FS1026,0.11,0.35,1.31,0.018,0.003,0.09,0.15,0.26,0.24,0,,
Savage River Mn-Ni Flights,FS1121,1.02,0.55,11.3,0.01,0.025,0.22,3.9,0.09,0.15,0,,
Blue Coil,FS1021,0.27,0.25,1.35,0.008,0.015,0.1,0.1,0,0,0,,
WI22 Scrap,FS1066,2.65,0.4,0.9,0.01,0.02,23,0.1,0.8,0.95,0,,
Impellors,FS1226,2.3,0.3,1.8,0.034,0.034,27.6,0.222,0.011,0.061,0,,
25-20 Scrap,FS1227,0.4,1.08,0.92,0.01,0.022,25,22.7,0.1,0.12,0,,
321H SS Scrap,FS1228,0.3,1.85,0.87,0.01,0.01,18,10,0.01,0.1,0,,
18-2-1 Scrap,FS1310,2.8,0.4,0.9,0,0,18,0,1.6,1,0,,
22kg Ingot Mould Scrap,FS1027,0.17,0.4,0.65,0.02,0.02,1.25,0.02,0.55,0.01,0,,
TEMCO Ingot Moulds,FS1041,3.4,1.8,0.6,0.06,0,0.1,0.1,0.1,0.1,0,,
Bell Bay Iron Scrap,FS1042,3.6,2.1,0.25,0.2,0.02,0.2,0.15,0.1,0.1,0,,
Comalco liners,0,2.4,0.4,0.74,0.02,0.03,25,0.3,0.01,0.03,0,,
Laser sheet,FS1025,0.22,0.2,0.9,0.008,0.012,0.2,0.03,0.02,0.03,0,,
Railway iron,FS1135,0.67,0.15,0.75,0.019,0.028,0.024,0.038,0.003,0.02,0,,
SERV Thick Liners,0,0.45,0.5,0.75,0.025,0.025,2.5,0.25,0.4,0.1,0,,
8% Chrome Steel Grates,0,0.2,0.5,0.8,0.025,0.025,8,0.05,0.01,0.03,0,,
Thyssenkrupp KT-DUR,FS1303,0.5,1.1,1,0.015,0.014,10.4,0.1,0.1,0.05,0,,
0,0,0,0,0,0,0,0,0,0,0,0,,
0,0,0,0,0,0,0,0,0,0,0,0,,
0,0,0,0,0,0,0,0,0,0,0,0,,
0,0,0,0,0,0,0,0,0,0,0,0,,
0,0,0,0,0,0,0,0,0,0,0,0,,
0,0,0,0,0,0,0,0,0,0,0,0,,
0,0,0,0,0,0,0,0,0,0,0,0,,
0,0,0,0,0,0,0,0,0,0,0,0,,
0,0,0,0,0,0,0,0,0,0,0,0,,
0,0,0,0,0,0,0,0,0,0,0,0,,
0,0,0,0,0,0,0,0,0,0,0,0,,
0,0,0,0,0,0,0,0,0,0,0,0,,
0,0,0,0,0,0,0,0,0,0,0,0,,
0,0,0,0,0,0,0,0,0,0,0,0,,
0,0,0,0,0,0,0,0,0,0,0,0,,
0,0,0,0,0,0,0,0,0,0,0,0,,
0,0,0,0,0,0,0,0,0,0,0,0,,
0,0,0,0,0,0,0,0,0,0,0,0,,
0,0,0,0,0,0,0,0,0,0,0,0,,
0,0,0,0,0,0,0,0,0,0,0,0,,
0,0,0,0,0,0,0,0,0,0,0,0,,
0,0,0,0,0,0,0,0,0,0,0,0,,
0,0,0,0,0,0,0,0,0,0,0,0,,
0,0,0,0,0,0,0,0,0,0,0,0,,
0,0,0,0,0,0,0,0,0,0,0,0,,
0,0,0,0,0,0,0,0,0,0,0,0,,
0,0,0,0,0,0,0,0,0,0,0,0,,
0,0,0,0,0,0,0,0,0,0,0,0,,
0,0,0,0,0,0,0,0,0,0,0,0,,
0,0,0,0,0,0,0,0,0,0,0,0,,
0,0,0,0,0,0,0,0,0,0,0,0,,
0,0,0,0,0,0,0,0,0,0,0,0,,
0,0,0,0,0,0,0,0,0,0,0,0,,
0,0,0,0,0,0,0,0,0,0,0,0,,
0,0,0,0,0,0,0,0,0,0,0,0,,
0,0,0,0,0,0,0,0,0,0,0,0,,
0,0,0,0,0,0,0,0,0,0,0,0,,
0,0,0,0,0,0,0,0,0,0,0,0,,
0,0,0,0,0,0,0,0,0,0,0,0,,
0,0,0,0,0,0,0,0,0,0,0,0,,
0,0,0,0,0,0,0,0,0,0,0,0,,
